eid,fname,lname,email,phone,hiredate,jobid,salary,comm,mid,did
163,Danielle,Greene,dgreene@gmailcom,011441346229268,19-03-1999,SA_REP,9500,015,147,80
164,Mattea,Marvins,mmarvins@gmailcom,011441346329268,24-01-2000,SA_REP,7200,01,147,80
165,David,Lee,dlee@gmailcom,011441346529268,23-02-2000,SA_REP,6800,01,147,80
166,Sundar,Ande,sande@gmailcom,011441346629268,24-03-2000,SA_REP,6400,01,147,80
167,Amit,Banda,abanda@gmailcom,011441346729268,21-04-2000,SA_REP,6200,01,147,80
168,Lisa,Ozer,lozer@gmailcom,011441343929268,11-03-1997,SA_REP,11500,025,148,80
169,Harrison,Bloom,hbloom@gmailcom,011441343829268,23-03-1998,SA_REP,10000,02,148,80
170,Tayler,Fox,tfox@gmailcom,011441343729268,24-01-1998,SA_REP,9600,02,148,80
171,William,Smith,wsmith@gmailcom,011441343629268,23-02-1999,SA_REP,7400,015,148,80
172,Elizabeth,Bates,ebates@gmailcom,011441343529268,24-03-1999,SA_REP,7300,015,148,80
173,Sundita,Kumar,skumar@gmailcom,011441343329268,21-04-2000,SA_REP,6100,01,148,80
174,Ellen,Abel,eabel@gmailcom,011441644429267,11-05-1996,SA_REP,11000,03,149,80
175,Alyssa,Hutton,ahutton@gmailcom,011441644429266,19-03-1997,SA_REP,8800,025,149,80
176,Jonathon,Taylor,jtaylor@gmailcom,011441644429265,24-03-1998,SA_REP,8600,02,149,80
177,Jack,Livingston,jlivings@gmailcom,011441644429264,23-04-1998,SA_REP,8400,02,149,80
178,Kimberely,Grant,kgrant@gmailcom,011441644429263,24-05-1999,SA_REP,7000,015,149,NULL
179,Charles,Johnson,cjohnson@gmailcom,011441644429262,04-01-2000,SA_REP,6200,01,149,80
180,Winston,Taylor,wtaylor@gmailcom,6505079876,24-01-1998,SH_CLERK,3200,NULL,120,50
181,Jean,Fleaur,jfleaur@gmailcom,6505079877,23-02-1998,SH_CLERK,3100,NULL,120,50
182,Martha,Sullivan,msulliva@gmailcom,6505079878,21-06-1999,SH_CLERK,2500,NULL,120,50
183,Girard,Geoni,ggeoni@gmailcom,6505079879,03-02-2000,SH_CLERK,2800,NULL,120,50
184,Nandita,Sarchand,nsarchan@gmailcom,6505091876,27-01-1996,SH_CLERK,4200,NULL,121,50
185,Alexis,Bull,abull@gmailcom,6505092876,20-02-1997,SH_CLERK,4100,NULL,121,50
186,Julia,Dellinger,jdelling@gmailcom,6505093876,24-06-1998,SH_CLERK,3400,NULL,121,50
187,Anthony,Cabrio,acabrio@gmailcom,6505094876,07-02-1999,SH_CLERK,3000,NULL,121,50
188,Kelly,Chung,kchung@gmailcom,6505051876,14-06-1997,SH_CLERK,3800,NULL,122,50
189,Jennifer,Dilly,jdilly@gmailcom,6505052876,13-08-1997,SH_CLERK,3600,NULL,122,50
190,Timothy,Gates,tgates@gmailcom,6505053876,11-07-1998,SH_CLERK,2900,NULL,122,50
191,Randall,Perkins,rperkins@gmailcom,6505054876,19-12-1999,SH_CLERK,2500,NULL,122,50
192,Sarah,Bell,sbell@gmailcom,6505011876,04-02-1996,SH_CLERK,4000,NULL,123,50
193,Britney,Everett,beverett@gmailcom,6505012876,03-03-1997,SH_CLERK,3900,NULL,123,50
194,Samuel,McCain,smccain@gmailcom,6505013876,01-07-1998,SH_CLERK,3200,NULL,123,40
195,Vance,Jones,vjones@gmailcom,6505014876,17-03-1999,SH_CLERK,2800,NULL,123,40
196,Alana,Walsh,awalsh@gmailcom,6505079811,24-04-1998,SH_CLERK,3100,NULL,124,40
197,Kevin,Feeney,kfeeney@gmailcom,6505079822,23-05-1998,SH_CLERK,3000,NULL,124,40
198,Donald,OConnell,doconnel@gmailcom,6505079833,21-06-1999,SH_CLERK,2600,NULL,124,50
199,Douglas,Grant,dgrant@gmailcom,6505079844,13-01-2000,SH_CLERK,2600,NULL,124,50
200,Jennifer,Whalen,jwhalen@gmailcom,5151234444,17-09-1987,AD_ASST,4400,NULL,101,10
